VDF_TYPE,SPD_FACT,AM_CAP,MD_CAP,PM_CAP,NT_CAP,24H_CAP,1H_CAP,PK_CAP,OP_CAP,ALPHA,BETA,SPEED
100,0.857,5892,9985,8134,9985,30867,2085,8134,9985,0.74,4.6,70
101,0.857,4979,8438,6873,8438,26083,1762,6873,8438,0.87,5,70
102,1.277,1991,3715,2905,3715,9621,801,2905,3715,1.5,1.5,47
103,2.4,953,1778,1390,1778,4605,383,1390,1778,1.5,1.5,25
104,1.622,1115,2081,1627,2081,5389,449,1627,2081,1.5,1.5,37
105,4,,,,,,,,,0,1.001,15
106,1.714,1692,3158,2469,3158,8178,681,2469,3158,1.5,1.5,35
107,1.538,3124,5830,4558,5830,15097,1257,4558,5830,1.5,1.5,39
108,2,2356,4396,3437,4396,11383,948,3437,4396,1.5,1.5,30
109,1.2,2158,4028,3149,4028,10430,869,3149,4028,0.87,5,50
110,1.277,1991,3715,2905,3715,9621,801,2905,3715,1.5,1.5,47
111,4,381,711,556,711,1842,153,556,711,1.5,1.5,15
112,2.4,,,,,,,,,,,25
113,4,,,,,,,,,,,15
114,4,,,,,,,,,,,15
115,4,,,,,,,,,,,15
116,0.857,,,,,,,,,0.74,4.6,70
200,0.857,5996,10162,8278,10162,31414,2122,8278,10162,1.88,3.1,70
201,0.857,5223,8851,7210,8851,27362,1848,7210,8851,0.75,4,70
202,1.224,2206,4116,3218,4116,10659,888,3218,4116,1.2,2,49
203,2.143,946,1765,1380,1765,4570,381,1380,1765,1.2,2,28
204,1.538,1129,2107,1647,2107,5456,454,1647,2107,1.2,2,39
205,3,,,,,,,,,0,1.001,20
206,1.5,1713,3197,2500,3197,8279,689,2500,3197,1.2,2,40
207,1.5,3106,5797,4532,5797,15011,1250,4532,5797,1.2,2,40
208,2,2331,4350,3401,4350,11264,938,3401,4350,1.2,2,30
209,1.132,2102,3923,3067,3923,10159,846,3067,3923,0.75,4,53
210,1.224,2206,4116,3218,4116,10659,888,3218,4116,1.2,2,49
211,3,378,706,552,706,1828,152,552,706,1.2,2,20
212,2.143,,,,,,,,,,,28
213,3,,,,,,,,,,,20
214,3,,,,,,,,,,,20
215,3,,,,,,,,,,,20
216,0.857,,,,,,,,,1.88,3.1,70
300,0.8,6153,10428,8494,10428,32235,2177,8494,10428,1.88,3.1,75
301,0.845,5113,8665,7058,8665,26785,1809,7058,8665,0.71,3.47,71
302,1.091,2289,4271,3339,4271,11060,921,3339,4271,1.8,2.1,55
303,1.622,1061,1980,1548,1980,5128,427,1548,1980,1.8,2.1,37
304,1.463,1327,2476,1936,2476,6412,534,1936,2476,1.8,2.1,41
305,2.4,,,,,,,,,0,1.001,25
306,1.463,2014,3758,2938,3758,9731,810,2938,3758,1.8,2.1,41
307,1.364,2977,5556,4344,5556,14388,1198,4344,5556,1.8,2.1,44
308,2,2179,4065,3179,4065,10528,877,3179,4065,1.8,2.1,30
309,1.053,2221,4145,3241,4145,10734,894,3241,4145,0.71,3.47,57
310,1.091,2289,4271,3339,4271,11060,921,3339,4271,1.8,2.1,55
311,2.4,424,792,619,792,2051,171,619,792,1.8,2.1,25
312,1.622,,,,,,,,,,,37
313,2.4,,,,,,,,,,,25
314,2.4,,,,,,,,,,,25
315,2.4,,,,,,,,,,,25
316,0.8,,,,,,,,,1.88,3.1,75
400,0.8,6226,10551,8595,10551,32617,2203,8595,10551,1.88,3.1,75
401,0.845,4864,8244,6715,8244,25483,1721,6715,8244,0.71,3.47,71
402,1.091,2448,4568,3571,4568,11828,985,3571,4568,1.8,2.1,55
403,1.538,1078,2013,1574,2013,5212,434,1574,2013,1.8,2.1,39
404,1.429,1348,2516,1967,2516,6515,542,1967,2516,1.8,2.1,42
405,2.4,,,,,,,,,0,1.001,25
406,1.463,2046,3818,2985,3818,9886,823,2985,3818,1.8,2.1,41
407,1.364,2794,5214,4077,5214,13503,1124,4077,5214,1.8,2.1,44
408,2,2300,4292,3356,4292,11115,926,3356,4292,1.8,2.1,30
409,1.017,2085,3890,3042,3890,10074,839,3042,3890,0.71,3.47,59
410,1.091,2448,4568,3571,4568,11828,985,3571,4568,1.8,2.1,55
411,2.4,431,805,629,805,2085,174,629,805,1.8,2.1,25
412,1.538,,,,,,,,,,,39
413,2.4,,,,,,,,,,,25
414,2.4,,,,,,,,,,,25
415,2.4,,,,,,,,,,,25
416,0.8,,,,,,,,,1.88,3.1,75
500,0.8,6260,10610,8642,10610,32797,2215,8642,10610,1.88,3.1,75
501,0.833,4805,8143,6633,8143,25173,1700,6633,8143,0.71,3.47,72
502,1.053,2738,5110,3996,5110,13233,1102,3996,5110,1.8,2.1,57
503,1.5,1036,1934,1512,1934,5008,417,1512,1934,1.8,2.1,40
504,1.395,1263,2357,1843,2357,6104,508,1843,2357,1.8,2.1,43
505,2,,,,,,,,,0,1.001,30
506,1.429,1917,3577,2797,3577,9263,771,2797,3577,1.8,2.1,42
507,1.304,2611,4872,3809,4872,12616,1051,3809,4872,1.8,2.1,46
508,2,2123,3962,3098,3962,10260,854,3098,3962,1.8,2.1,30
509,0.984,1924,3591,2808,3591,9299,774,2808,3591,0.71,3.47,61
510,1.053,2738,5110,3996,5110,13233,1102,3996,5110,1.8,2.1,57
511,2,414,773,605,773,2003,167,605,773,1.8,2.1,30
512,1.5,,,,,,,,,,,40
513,2,,,,,,,,,,,30
514,2,,,,,,,,,,,30
515,2,,,,,,,,,,,30
516,0.8,,,,,,,,,1.88,3.1,75
