VDF,VDF_TYPE,FT,AT,period,CUT_OFF_SPD,ULT_CAP,K_CRI,FFS,mm,peak_factor,alpha,beta,per_error,per_error_demand
"(1, 1)",101,1,1,0600_0900,51.531326253807485,1687.706557093866,32.751079387737796,69.99999999999999,4.525857595758048,2.372617220224725,0.37,5.64,0.8250278848500756,3.778920685698488e-17
"(1, 1)",101,1,1,0900_1400,51.531326253807485,1687.706557093866,32.751079387737796,69.99999999999999,4.525857595758048,4.819938552849691,0.38,4.489999999999998,0.2203654622604115,7.625763338796772e-17
"(1, 1)",101,1,1,1400_1800,51.531326253807485,1687.706557093866,32.751079387737796,69.99999999999999,4.525857595758048,2.3336486373320184,0.16999999999999998,4.650000000000002,0.7758971606238924,4.4041139930677826e-17
"(1, 1)",101,1,1,1800_0600,51.531326253807485,1687.706557093866,32.751079387737796,69.99999999999999,4.525857595758048,5.781625957923587,0.2699999999999999,5.75,0.5457768437610828,5.586069093983776e-17
"(1, 2)",201,1,2,0600_0900,51.38799498854867,1850.81172261116,36.01642218233258,69.99999999999996,4.485073644001134,2.6316470599071886,0.69,4.97,0.5083012666870118,0.02007020082661827
"(1, 2)",201,1,2,0900_1400,51.38799498854867,1850.81172261116,36.01642218233258,69.99999999999996,4.485073644001134,4.935794499999461,0.4,4.95,0.16758470797076397,0.001472979536972472
"(1, 2)",201,1,2,1400_1800,51.38799498854867,1850.81172261116,36.01642218233258,69.99999999999996,4.485073644001134,3.0908814626481327,0.37,4.13,0.42170562128930256,3.956562107368703e-17
"(1, 2)",201,1,2,1800_0600,51.38799498854867,1850.81172261116,36.01642218233258,69.99999999999996,4.485073644001134,6.645779860129258,0.2,6.56,0.6283464445353073,0.6505369608307912
"(1, 3)",301,1,3,0600_0900,57.862425408616815,1985.71918246348,34.31793894639903,70.99999999999675,6.775246154011054,2.6385100559632106,0.40000000000000013,5.459999999999998,0.5408883817916277,3.3082954873906954e-17
"(1, 3)",301,1,3,0900_1400,57.862425408616815,1985.71918246348,34.31793894639903,70.99999999999675,6.775246154011054,5.056222309974819,0.29,5.549999999999999,0.2605484582607474,2.930393917242823e-17
"(1, 3)",301,1,3,1400_1800,57.862425408616815,1985.71918246348,34.31793894639903,70.99999999999675,6.775246154011054,3.8430938931036813,0.21,4.64,0.2274034435134666,5.5256538535846313e-17
"(1, 3)",301,1,3,1800_0600,57.862425408616815,1985.71918246348,34.31793894639903,70.99999999999675,6.775246154011054,6.6161388265965995,0.14999999999999997,10.0,0.4686011781205731,1.5462003032690224
"(6, 1)",106,6,1,0600_0900,20.585091302040116,493.39795411600994,23.968703702912943,34.53525252552826,2.6792773991347114,2.903395393645571,2.16,3.5699999999999994,0.34522603832052173,4.962131160743292e-17
"(6, 1)",106,6,1,0900_1400,20.585091302040116,493.39795411600994,23.968703702912943,34.53525252552826,2.6792773991347114,4.549335274023579,1.09,3.0600000000000005,0.29604519122259876,5.0226980571190004e-17
"(6, 1)",106,6,1,1400_1800,20.585091302040116,493.39795411600994,23.968703702912943,34.53525252552826,2.6792773991347114,3.6267254150236568,0.9399999999999996,3.5799999999999983,0.35205611091200606,4.478363911785071e-17
"(6, 1)",106,6,1,1800_0600,20.585091302040116,493.39795411600994,23.968703702912943,34.53525252552826,2.6792773991347114,9.737511139559029,1.4399999999999997,1.8,0.6967850092867554,0.9126260498658154
"(6, 2)",206,6,2,0600_0900,17.625237656755044,741.033437185768,42.04388341406334,39.99999999999999,1.6915360680225278,2.909486476687884,2.71,3.3699999999999997,0.4051049019482341,0.01728445057241302
"(6, 2)",206,6,2,0900_1400,17.625237656755044,741.033437185768,42.04388341406334,39.99999999999999,1.6915360680225278,5.071582387489661,2.64,2.5900000000000003,0.3725511451352823,0.002748883895225455
"(6, 2)",206,6,2,1400_1800,17.625237656755044,741.033437185768,42.04388341406334,39.99999999999999,1.6915360680225278,3.9079100842334236,1.6099999999999999,3.25,0.23439797849259772,0.0010070758862112887
"(6, 2)",206,6,2,1800_0600,17.625237656755044,741.033437185768,42.04388341406334,39.99999999999999,1.6915360680225278,7.270599617421505,1.8500000000000003,1.7600000000000007,0.7208373815794211,2.1668322964177995
"(6, 3)",306,6,3,0600_0900,22.815287371492335,666.3446718358408,29.20606087427316,37.49818808600298,2.7901004861850356,2.927080062444261,1.8000000000000005,3.69,0.34946707284198564,0.017303453934585773
"(6, 3)",306,6,3,0900_1400,22.815287371492335,666.3446718358408,29.20606087427316,37.49818808600298,2.7901004861850356,4.9259671758723815,1.5999999999999996,2.87,0.43823958843751865,0.004450306022086209
"(6, 3)",306,6,3,1400_1800,22.815287371492335,666.3446718358408,29.20606087427316,37.49818808600298,2.7901004861850356,3.9144431709543768,0.9399999999999997,3.600000000000001,0.28790171325428704,0.00025505482971872927
"(6, 3)",306,6,3,1800_0600,22.815287371492335,666.3446718358408,29.20606087427316,37.49818808600298,2.7901004861850356,7.052722912067195,0.73,2.27,0.7053741540084921,2.282718465197327
