link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
12816AB,13890,13831,1/1/2018,1,3,0900_1400,6638.166666666666,1327.6333333333332,62.57333333300001,21.45825371106695,7,9,1139.3333333333333,1132.0,5.826360444704505,0.75,221.0364452786355,0.0022882251264213864
12817AB,13834,13891,1/1/2018,1,3,0900_1400,4569.375,913.875,62.411874999999995,14.669962661752503,0,0,777.0,710.5,5.880791505791506,0.25,3202.2185751997667,0.001956160185999545
15973AB,15603,15634,1/1/2018,1,3,0900_1400,5657.099999999999,1131.4199999999998,69.18699999999998,16.35893407586453,0,0,1232.8,1108.4,4.5888221933809215,0.25,943.9540719529432,0.0003696339662342299
15974AB,15633,15606,1/1/2018,1,3,0900_1400,5725.3,1145.06,67.43949999999998,17.02200275735848,0,0,1347.0,1409.6,4.250408314773571,0.25,2438.6850595224946,0.0007508917828351421
17194AB,15861,16270,1/1/2018,1,3,0900_1400,5442.400000000001,1088.48,73.106,14.89338422214485,0,0,961.1,925.6,5.662678181250651,0.25,0.0,0.0
19260AB,17510,17511,1/1/2018,1,3,0900_1400,2098.9,419.78000000000003,71.3805,5.8802292823943025,0,0,405.0,555.2,5.182469135802469,0.25,0.5076895034623378,3.9688643189636497e-07
19376AB,17570,17589,1/1/2018,1,3,0900_1400,2945.2999999999997,589.06,71.41999999999999,8.247568187452602,0,0,560.9,663.2,5.251025138170797,0.25,32.082936849586176,2.099651053288701e-05
19378AB,17590,17568,1/1/2018,1,3,0900_1400,2249.33333336,449.86666667199995,73.817916666,6.094659430621438,0,0,465.41666668000005,380.33333336,4.83294538935483,0.25,0.0,0.0
19446AB,17497,17612,1/1/2018,1,3,0900_1400,2204.7,440.93999999999994,72.458,6.084144027220178,0,0,421.2,402.4,5.234330484330484,0.25,0.0,0.0
20749AB,18299,18300,1/1/2018,1,3,0900_1400,5293.375,1058.675,68.935625,15.367193427104073,0,0,894.75,950.0,5.916037999441184,0.25,925.2453784287075,0.00042271810052481155
20750AB,18301,18302,1/1/2018,1,3,0900_1400,5187.375,1037.475,69.98625,14.828566917734273,0,0,1097.25,1132.0,4.727614490772385,0.25,535.3620926923778,0.00020526680158810374
2193AB,7650,7651,1/1/2018,1,3,0900_1400,5653.5,1130.7,67.876875,16.65893467537419,0,0,1098.0,1112.0,5.148907103825136,0.25,1661.680338032682,0.0006485750220263953
2224AB,7702,7703,1/1/2018,1,3,0900_1400,6040.625,1208.125,69.52562500000002,17.3932160439744,0,0,1369.0,1010.5,4.412436084733382,0.25,706.8279946358998,0.00030359523382775125
25848AB,21369,21370,1/1/2018,1,3,0900_1400,6400.833333333333,1280.1666666666665,68.14749999950001,18.800825284135225,0,0,1486.5,1520.6666666666667,4.305976006278731,0.25,2073.3892866292913,0.0005917855400332945
25850AB,21373,21374,1/1/2018,1,3,0900_1400,8268.0,1653.6,72.91249999949999,22.686653668160318,0,0,1764.4999999999998,1682.6666666666667,4.685746670444886,0.25,0.0,0.0
26399AB,21708,21709,1/1/2018,1,3,0900_1400,7338.1666665,1467.6333333,65.80999999950001,22.405129902503013,0,0,1646.333333,1683.3333329999998,4.457278802178028,0.25,4416.018529497634,0.0011386186392254778
26400AB,21710,21711,1/1/2018,1,3,0900_1400,5927.875,1185.575,70.186875,16.91258448939932,0,0,1046.0,994.5,5.667184512428299,0.25,401.86468244648523,0.00017538505288046288
32157AB,16291,15858,1/1/2018,1,3,0900_1400,5499.9,1099.98,72.3475,15.206079565008602,0,0,827.9,1152.4,6.643193622418166,0.25,34.87449714066315,1.3134762664942286e-05
3951AB,8759,8760,1/1/2018,1,3,0900_1400,4621.125,924.225,65.178125,14.185073203103926,0,0,1010.0,881.0,4.575371287128712,0.25,2555.2032006996633,0.0012588299284566854
4433AB,6066,9026,1/1/2018,1,3,0900_1400,4604.125,920.825,69.45624999999998,13.26510719175258,0,0,1054.75,806.0,4.365133917990045,0.25,582.4708283092341,0.0003136582124459534
4437AB,9029,6087,1/1/2018,1,3,0900_1400,5440.166666666667,1088.0333333333333,75.00916666650001,14.506855397930888,0,0,1067.0,1130.6666666666667,5.0985629490784135,0.25,0.0,0.0
4607AB,9071,9125,1/1/2018,1,3,0900_1400,6288.375,1257.675,69.57999999999998,18.080685685585525,0,0,1367.625,1002.5,4.598025774609268,0.25,665.0304735200951,0.00028792189384182565
4608AB,9126,9059,1/1/2018,1,3,0900_1400,5368.900000000001,1073.7800000000002,66.23049999999998,16.255266281606424,0,0,1077.7,962.0,4.981813120534472,0.25,2306.8544897925653,0.0010407889063007865
