VDF_TYPE,SPD_FACT,AM_CAP,MD_CAP,PM_CAP,NT_CAP,24H_CAP,1H_CAP,PK_CAP,OP_CAP,ALPHA,BETA,SPEED
100,0.857,5892.0,9985.0,8134.0,9985.0,30867.0,2085.0,8134.0,9985.0,0.74,4.6,70.0
101,0.857,12693.073542293307,24535.78364532915,7438.076994160653,28997.307798768754,26083.0,1762.0,6873.0,8438.0,2.9300000000000006,2.5399999999999996,69.99999999999999
102,1.2770000000000001,1991.0,3715.0,2905.0,3715.0,9621.0,801.0,2905.0,3715.0,1.5,1.5,47.0
103,2.4,953.0,1778.0,1390.0,1778.0,4605.0,383.0,1390.0,1778.0,1.5,1.5,25.0
104,1.6219999999999999,1115.0,2081.0,1627.0,2081.0,5389.0,449.0,1627.0,2081.0,1.5,1.5,37.0
105,4.0,,,,,,,,,0.0,1.001,15.0
106,1.714,4462.912668861428,7259.111780131936,6227.898101545907,8062.158219056735,8178.0,681.0,2469.0,3158.0,7.0900000000000025,1.9600000000000006,34.53525252552826
107,1.538,3124.0,5830.0,4558.0,5830.0,15097.0,1257.0,4558.0,5830.0,1.5,1.5,39.0
108,2.0,2356.0,4396.0,3437.0,4396.0,11383.0,948.0,3437.0,4396.0,1.5,1.5,30.0
109,1.2,2158.0,4028.0,3149.0,4028.0,10430.0,869.0,3149.0,4028.0,0.87,5.0,50.0
110,1.2770000000000001,1991.0,3715.0,2905.0,3715.0,9621.0,801.0,2905.0,3715.0,1.5,1.5,47.0
111,4.0,381.0,711.0,556.0,711.0,1842.0,153.0,556.0,711.0,1.5,1.5,15.0
112,2.4,,,,,,,,,,,25.0
113,4.0,,,,,,,,,,,15.0
114,4.0,,,,,,,,,,,15.0
115,4.0,,,,,,,,,,,15.0
116,0.857,,,,,,,,,0.74,4.6,70.0
200,0.857,5996.0,10162.0,8278.0,10162.0,31414.0,2122.0,8278.0,10162.0,1.88,3.1,70.0
201,0.857,17831.097416720153,32374.150410619855,17264.907125446654,32944.58735397318,27362.0,1848.0,7210.0,8851.0,10.0,2.98,69.99999999999996
202,1.224,2206.0,4116.0,3218.0,4116.0,10659.0,888.0,3218.0,4116.0,1.2,2.0,49.0
203,2.1430000000000002,946.0,1765.0,1380.0,1765.0,4570.0,381.0,1380.0,1765.0,1.2,2.0,28.0
204,1.538,1129.0,2107.0,1647.0,2107.0,5456.0,454.0,1647.0,2107.0,1.2,2.0,39.0
205,3.0,,,,,,,,,0.0,1.001,20.0
206,1.5,7405.110766786758,11169.949556693926,11195.53788516879,10384.243532095485,8279.0,689.0,2500.0,3197.0,10.0,1.7600000000000007,39.99999999999999
207,1.5,3106.0,5797.0,4532.0,5797.0,15011.0,1250.0,4532.0,5797.0,1.2,2.0,40.0
208,2.0,2331.0,4350.0,3401.0,4350.0,11264.0,938.0,3401.0,4350.0,1.2,2.0,30.0
209,1.1320000000000001,2102.0,3923.0,3067.0,3923.0,10159.0,846.0,3067.0,3923.0,0.75,4.0,53.0
210,1.224,2206.0,4116.0,3218.0,4116.0,10659.0,888.0,3218.0,4116.0,1.2,2.0,49.0
211,3.0,378.0,706.0,552.0,706.0,1828.0,152.0,552.0,706.0,1.2,2.0,20.0
212,2.1430000000000002,,,,,,,,,,,28.0
213,3.0,,,,,,,,,,,20.0
214,3.0,,,,,,,,,,,20.0
215,3.0,,,,,,,,,,,20.0
216,0.857,,,,,,,,,1.88,3.1,70.0
300,0.8,6153.0,10428.0,8494.0,10428.0,32235.0,2177.0,8494.0,10428.0,1.88,3.1,75.0
301,0.845,18678.20804377065,32605.652959388335,25784.322860993594,32498.304795595446,26785.0,1809.0,7058.0,8665.0,5.53,3.319999999999999,70.99999999999675
302,1.091,2289.0,4271.0,3339.0,4271.0,11060.0,921.0,3339.0,4271.0,1.8,2.1,55.0
303,1.6219999999999999,1061.0,1980.0,1548.0,1980.0,5128.0,427.0,1548.0,1980.0,1.8,2.1,37.0
304,1.463,1327.0,2476.0,1936.0,2476.0,6412.0,534.0,1936.0,2476.0,1.8,2.1,41.0
305,2.4,,,,,,,,,0.0,1.001,25.0
306,1.463,6136.931879558947,9020.203671721974,9341.778687769669,8533.43124172844,9731.0,810.0,2938.0,3758.0,8.49,2.12,37.49818808600298
307,1.364,2977.0,5556.0,4344.0,5556.0,14388.0,1198.0,4344.0,5556.0,1.8,2.1,44.0
308,2.0,2179.0,4065.0,3179.0,4065.0,10528.0,877.0,3179.0,4065.0,1.8,2.1,30.0
309,1.053,2221.0,4145.0,3241.0,4145.0,10734.0,894.0,3241.0,4145.0,0.71,3.47,57.0
310,1.091,2289.0,4271.0,3339.0,4271.0,11060.0,921.0,3339.0,4271.0,1.8,2.1,55.0
311,2.4,424.0,792.0,619.0,792.0,2051.0,171.0,619.0,792.0,1.8,2.1,25.0
312,1.6219999999999999,,,,,,,,,,,37.0
313,2.4,,,,,,,,,,,25.0
314,2.4,,,,,,,,,,,25.0
315,2.4,,,,,,,,,,,25.0
316,0.8,,,,,,,,,1.88,3.1,75.0
400,0.8,6226.0,10551.0,8595.0,10551.0,32617.0,2203.0,8595.0,10551.0,1.88,3.1,75.0
401,0.845,4864.0,8244.0,6715.0,8244.0,25483.0,1721.0,6715.0,8244.0,0.71,3.47,71.0
402,1.091,2448.0,4568.0,3571.0,4568.0,11828.0,985.0,3571.0,4568.0,1.8,2.1,55.0
403,1.538,1078.0,2013.0,1574.0,2013.0,5212.0,434.0,1574.0,2013.0,1.8,2.1,39.0
404,1.429,1348.0,2516.0,1967.0,2516.0,6515.0,542.0,1967.0,2516.0,1.8,2.1,42.0
405,2.4,,,,,,,,,0.0,1.001,25.0
406,1.463,2046.0,3818.0,2985.0,3818.0,9886.0,823.0,2985.0,3818.0,1.8,2.1,41.0
407,1.364,2794.0,5214.0,4077.0,5214.0,13503.0,1124.0,4077.0,5214.0,1.8,2.1,44.0
408,2.0,2300.0,4292.0,3356.0,4292.0,11115.0,926.0,3356.0,4292.0,1.8,2.1,30.0
409,1.0170000000000001,2085.0,3890.0,3042.0,3890.0,10074.0,839.0,3042.0,3890.0,0.71,3.47,59.0
410,1.091,2448.0,4568.0,3571.0,4568.0,11828.0,985.0,3571.0,4568.0,1.8,2.1,55.0
411,2.4,431.0,805.0,629.0,805.0,2085.0,174.0,629.0,805.0,1.8,2.1,25.0
412,1.538,,,,,,,,,,,39.0
413,2.4,,,,,,,,,,,25.0
414,2.4,,,,,,,,,,,25.0
415,2.4,,,,,,,,,,,25.0
416,0.8,,,,,,,,,1.88,3.1,75.0
500,0.8,6260.0,10610.0,8642.0,10610.0,32797.0,2215.0,8642.0,10610.0,1.88,3.1,75.0
501,0.833,4805.0,8143.0,6633.0,8143.0,25173.0,1700.0,6633.0,8143.0,0.71,3.47,72.0
502,1.053,2738.0,5110.0,3996.0,5110.0,13233.0,1102.0,3996.0,5110.0,1.8,2.1,57.0
503,1.5,1036.0,1934.0,1512.0,1934.0,5008.0,417.0,1512.0,1934.0,1.8,2.1,40.0
504,1.395,1263.0,2357.0,1843.0,2357.0,6104.0,508.0,1843.0,2357.0,1.8,2.1,43.0
505,2.0,,,,,,,,,0.0,1.001,30.0
506,1.429,1917.0,3577.0,2797.0,3577.0,9263.0,771.0,2797.0,3577.0,1.8,2.1,42.0
507,1.304,2611.0,4872.0,3809.0,4872.0,12616.0,1051.0,3809.0,4872.0,1.8,2.1,46.0
508,2.0,2123.0,3962.0,3098.0,3962.0,10260.0,854.0,3098.0,3962.0,1.8,2.1,30.0
509,0.9840000000000001,1924.0,3591.0,2808.0,3591.0,9299.0,774.0,2808.0,3591.0,0.71,3.47,61.0
510,1.053,2738.0,5110.0,3996.0,5110.0,13233.0,1102.0,3996.0,5110.0,1.8,2.1,57.0
511,2.0,414.0,773.0,605.0,773.0,2003.0,167.0,605.0,773.0,1.8,2.1,30.0
512,1.5,,,,,,,,,,,40.0
513,2.0,,,,,,,,,,,30.0
514,2.0,,,,,,,,,,,30.0
515,2.0,,,,,,,,,,,30.0
516,0.8,,,,,,,,,1.88,3.1,75.0
