VDF,VDF_TYPE,FT,AT,period,speed_at_capacity,ultimate_capacity,critical_density,free_flow_speed,mm,peak_hour_factor,alpha,beta
"(0, 1)",100,0,1,0600_0900,53.46336017987393,2042.559570516852,38.20484839794573,79.3062335040696,3.5156567402417163,2.1869142890726967,3.23000000000001,3.8500000000000147
"(0, 1)",100,0,1,0900_1400,53.46336017987393,2042.559570516852,38.20484839794573,79.3062335040696,3.5156567402417163,3.8666921564947594,0.48999999999999805,4.120000000000004
"(0, 1)",100,0,1,1400_1800,53.46336017987393,2042.559570516852,38.20484839794573,79.3062335040696,3.5156567402417163,2.002339086895884,0.4399999999999986,4.3200000000000225
"(0, 1)",100,0,1,1800_0600,53.46336017987393,2042.559570516852,38.20484839794573,79.3062335040696,3.5156567402417163,5.14380006209406,2.8700000000000037,4.72000000000002
100,0,1,daily,--,--,--,--,--,--,0.5400000000000087,4.2399999999999,
"(1, 1)",101,1,1,0600_0900,50.80851997322642,1732.1971506695625,34.09265122428965,72.37415136452324,3.9184639219102593,2.516483896077246,0.5799999999999988,5.759999999999993
"(1, 1)",101,1,1,0900_1400,50.80851997322642,1732.1971506695625,34.09265122428965,72.37415136452324,3.9184639219102593,4.541484812984357,0.40000000000000113,4.169999999999983
"(1, 1)",101,1,1,1400_1800,50.80851997322642,1732.1971506695625,34.09265122428965,72.37415136452324,3.9184639219102593,1.9650747597144798,0.20000000000000057,4.700000000000021
"(1, 1)",101,1,1,1800_0600,50.80851997322642,1732.1971506695625,34.09265122428965,72.37415136452324,3.9184639219102593,6.583989686885845,1.350000000000001,4.869999999999994
101,1,1,daily,--,--,--,--,--,--,0.35000000000000164,4.32000000000007,
"(7, 1)",107,7,1,0600_0900,39.28438014502464,306.5515514703702,7.8033954039413524,75.99999999999999,2.100744077558121,1.5534456038632463,10.0,3.5699999999999954
"(7, 1)",107,7,1,0900_1400,39.28438014502464,306.5515514703702,7.8033954039413524,75.99999999999999,2.100744077558121,2.78124212783574,0.7899999999999994,4.720000000000001
"(7, 1)",107,7,1,1400_1800,39.28438014502464,306.5515514703702,7.8033954039413524,75.99999999999999,2.100744077558121,2.975788150485602,0.6099999999999997,4.689999999999999
"(7, 1)",107,7,1,1800_0600,39.28438014502464,306.5515514703702,7.8033954039413524,75.99999999999999,2.100744077558121,3.7954272616000035,1.3400000000000019,4.0
107,7,1,daily,--,--,--,--,--,--,0.7099999999999995,5.05999999999997,
